,mean_abs_shap
sec_Health Care,2.161668623449724
sec_Industrials,1.804886533593759
sec_Information Technology,1.3716061270579052
sec_Consumer Staples,0.9941602808873377
roa,0.782239279317799
sec_Real Estate,0.6544373048450879
sec_Utilities,0.6281547869573455
sec_Consumer Discretionary,0.6155734781390366
sec_Energy,0.44960794077551225
sec_Materials,0.35069062346370466
ebitda,0.32497316752405747
pe_ratio,0.24168642250735511
total_debt,0.2287754141765622
profit_margin,0.22039641612562316
beta,0.19377820584337097
roe,0.18947315612552823
log_market_cap,0.17904301465188574
revenue,0.1714604471727265
employees,0.16715399481666676
net_income,0.165760504897599
pb_ratio,0.13876377487351946
controversy,0.1307631450593837
debt_equity,0.12191398660190753
current_ratio,0.11549973650796491
sec_Financials,0.11280459871483513
